community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Vich,1160,155,748,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Vich-coat_of_arms.svg/35px-Vich-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Vaux-sur-Morges,185,210,88,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Vaux-sur-Morges-coat_of_arms.svg/35px-Vaux-sur-Morges-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Trélex,1430,577,248,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Trelex-coat_of_arms.svg/35px-Trelex-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Tolochenaz,1890,159,1189,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Tolochenaz-coat_of_arms.svg/35px-Tolochenaz-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Saint-Saphorin (Lavaux),401,89,451,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/CHE_Saint-Saphorin_COA.svg/35px-CHE_Saint-Saphorin_COA.svg.png,100.0,0.0,0.0,40.0
Préverenges,5204,187,2783,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Preverenges-coat_of_arms.svg/35px-Preverenges-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Saint-Oyens,455,306,149,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Saint-Oyens-coat_of_arms.svg/35px-Saint-Oyens-coat_of_arms.svg.png,100.0,0.0,0.0,40.0
Saint-George,1066,1232,87,Aubonne,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Saint-George-coat_of_arms.svg/35px-Saint-George-coat_of_arms.svg.png,100.0,0.0,0.0,40.0
Saint-Barthélemy (VD),806,412,196,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Saint-Barth%C3%A9lemy-coat_of_arms.svg/35px-Saint-Barth%C3%A9lemy-coat_of_arms.svg.png,100.0,0.0,0.0,40.0
Romanel-sur-Morges,460,176,261,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Romanel-sur-Morges-coat_of_arms.svg/35px-Romanel-sur-Morges-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Romanel-sur-Lausanne,3788,288,1315,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Romanel-sur-Lausanne-coat_of_arms.svg/35px-Romanel-sur-Lausanne-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Romainmôtier-Envy,559,698,80,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Blason_Romainm%C3%B4tier-Envy.svg/35px-Blason_Romainm%C3%B4tier-Envy.svg.png,100.0,0.0,0.0,40.0
